asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
silt_acolyte,silt_acolyte,authoring/clipstudio/sprites/silt_acolyte.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:18.914846+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:33.398439+00:00,2026-03-12T01:24:33.398439+00:00,54072a94cb12cc178c22f2de1ac76e595c775ef38dd8c56facbb0cc89f0f7615,1024,1024,2077009
pale_usher,pale_usher,authoring/clipstudio/sprites/pale_usher.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:18.959879+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:35.547948+00:00,2026-03-12T01:24:35.547948+00:00,f2da8e39b37d7cd417e877223ba5db31da3177be50e1d7cdaa4b0978af590772,1024,1024,1275318
plague_bell,plague_bell,authoring/clipstudio/sprites/plague_bell.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:35.085925+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:51.322128+00:00,2026-03-12T01:24:51.322128+00:00,3094f36c1efea978d7de5c59822c5047e1ebd7451a999870318b98f90485301f,1024,1024,2387705
quill_marauder,quill_marauder,authoring/clipstudio/sprites/quill_marauder.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:35.827057+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:49.953851+00:00,2026-03-12T01:24:49.953851+00:00,985348857c2449285d77355dbf9ec605332d90845c661545a207dbbaf1376d3b,1024,1024,2282020
writ_leech,writ_leech,authoring/clipstudio/sprites/writ_leech.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:35.955128+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:51.969467+00:00,2026-03-12T01:24:51.969467+00:00,1655662b387c92422a725bc0a7a7c5b7ff7d232a77b0ac6fd2dc41ceb31d3a1d,1024,1024,1889661
mire_hauler,mire_hauler,authoring/clipstudio/sprites/mire_hauler.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:36.194191+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:52.736044+00:00,2026-03-12T01:24:52.736044+00:00,393b69823a4e5bddf886d8610f6afe70fecce1e9e74e1c20116db433f3c0f69d,1024,1024,3027406
ossuary_knight,ossuary_knight,authoring/clipstudio/sprites/ossuary_knight.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:52.626264+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:09.014660+00:00,2026-03-12T01:25:09.014660+00:00,9842bfac23867f7b408010c889621442bdad7ea2af3eeb02e81ea86c0ea735b1,1024,1024,1796358
veil_skulker,veil_skulker,authoring/clipstudio/sprites/veil_skulker.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:52.964458+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:10.743658+00:00,2026-03-12T01:25:10.743658+00:00,4e93aca7c651cfad01d1425194360c419622ed840290fc62a5706c781aa98dfa,1024,1024,2154398
marsh_inquisitor,marsh_inquisitor,authoring/clipstudio/sprites/marsh_inquisitor.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:53.375510+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:11.003027+00:00,2026-03-12T01:25:11.003027+00:00,2f668d3025d49a019611695be64c121d09081729fd8c06e243be10da7d686e23,1024,1024,2086304
salt_rustic,salt_rustic,authoring/clipstudio/sprites/salt_rustic.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:23:53.668024+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:06.997101+00:00,2026-03-12T01:25:06.997101+00:00,636ff3583d490cf9da61cfcfc031961e6f9dd1a0da2a01415f6a023d47ef19fa,1024,1024,2125112
abbey_ballista,abbey_ballista,authoring/clipstudio/sprites/abbey_ballista.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:09.620957+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:28.610781+00:00,2026-03-12T01:25:28.610781+00:00,7864f17b63228066e8ab047cc388358ae89460a13c651c35745999339d23af94,1024,1024,2237973
chain_hierophant,chain_hierophant,authoring/clipstudio/sprites/chain_hierophant.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:10.434780+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:24.135287+00:00,2026-03-12T01:25:24.135287+00:00,dec5f19833a3c3c91b2cdd2ff7a00fe5add41c9518870965c7918eefb7936001,1024,1024,2285308
catacomb_duelist,catacomb_duelist,authoring/clipstudio/sprites/catacomb_duelist.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:10.733663+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:25.566094+00:00,2026-03-12T01:25:25.566094+00:00,d9fb406bd981120b161d4dc89dbd5b983ad9d80e79b485de7745ecb4c3d2feab,1024,1024,2313095
river_herald,river_herald,authoring/clipstudio/sprites/river_herald.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:11.758335+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:29.846107+00:00,2026-03-12T01:25:29.846107+00:00,da10c5938a03bf927831e41a4b5f230b50d331927d18bb60abd8b6193c6b5d37,1024,1024,1845172
gilded_bailiff,gilded_bailiff,authoring/clipstudio/sprites/gilded_bailiff.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:26.306987+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:41.932478+00:00,2026-03-12T01:25:41.932478+00:00,f3e673ee6ffe2ea24b66ac22d366c0eaede713e1d1544adbaf304b252921e439,1024,1024,1965342
moonlit_chastener,moonlit_chastener,authoring/clipstudio/sprites/moonlit_chastener.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:26.414405+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:42.515845+00:00,2026-03-12T01:25:42.515845+00:00,8d631cb9a9061fe5bd1a3c1cd12b84c1e191469f5255984d6f3c0fcafe71a78c,1024,1024,2042674
pestilent_warden,pestilent_warden,authoring/clipstudio/sprites/pestilent_warden.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:27.217806+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:45.467230+00:00,2026-03-12T01:25:45.467230+00:00,4e4fcd0d2cbffe049a074d01abd8b073de1e0c24096d993026ccf6080bafc298,1024,1024,2371750
sepulchral_judge,sepulchral_judge,authoring/clipstudio/sprites/sepulchral_judge.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:28.781888+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:48.175822+00:00,2026-03-12T01:25:48.175822+00:00,c2bc19ebc2517ba3fcd16e8556cb958374be3a5f5816dfe80dd329864b2eb5f0,1024,1024,2045592
abbess_of_brine,abbess_of_brine,authoring/clipstudio/sprites/abbess_of_brine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:43.358662+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:57.826558+00:00,2026-03-12T01:25:57.826558+00:00,a4f9942e36dc8bb5468c847729ea7882fcf4e5e6a5c276feafa6a9616a6361d7,1024,1024,1709063
the_sable_notary,the_sable_notary,authoring/clipstudio/sprites/the_sable_notary.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:43.950967+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:59.255232+00:00,2026-03-12T01:25:59.255232+00:00,460bb998f14ace99d735585b5eabf17884cc0cf169ab2f7efde92778dd27c3fc,1024,1024,1788521
cathedral_mandible,cathedral_mandible,authoring/clipstudio/sprites/cathedral_mandible.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:45.060987+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:03.591338+00:00,2026-03-12T01:26:03.591338+00:00,3b26e9cb22e9f9c2a95d096fd81f62284144e9f7796f45b908f2e7cc9ae18fc5,1024,1024,2480077
the_plague_cartographer,the_plague_cartographer,authoring/clipstudio/sprites/the_plague_cartographer.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:46.349535+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:05.148383+00:00,2026-03-12T01:26:05.148383+00:00,5f4f91cddc64bf3c9edad8a99bce4f0cc5787946e24157f97059c9e4ad275198,1024,1024,2281668
village_elder,village_elder,authoring/clipstudio/sprites/village_elder.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:24:59.423345+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:13.521436+00:00,2026-03-12T01:26:13.521436+00:00,114f196c743991ce83acf61d55803c1b9ab2f2d1a33974d0a3b71a0b3de4e0d6,1024,1024,1126178
smith_of_brass,smith_of_brass,authoring/clipstudio/sprites/smith_of_brass.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:01.639699+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:16.440148+00:00,2026-03-12T01:26:16.440148+00:00,c699ae41d255c8f10a13f51c1ef28d796eac475374def48e0bf88943cd754b00,1024,1024,1955622
rope_ferryman,rope_ferryman,authoring/clipstudio/sprites/rope_ferryman.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:01.797839+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:19.526260+00:00,2026-03-12T01:26:19.526260+00:00,fc48c17e3740ef897e5be1b1a3aee6d33549253cf707d093676aee4013c13fa2,1024,1024,736836
archive_child,archive_child,authoring/clipstudio/sprites/archive_child.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:05.702284+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:21.506855+00:00,2026-03-12T01:26:21.506855+00:00,ac25efe5c0604f6b8d7981352a3aa7d0b5bcc2cf2d9aa6b76355a640a28a3be6,1024,1024,1029050
moss_physician,moss_physician,authoring/clipstudio/sprites/moss_physician.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:16.417940+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:31.978754+00:00,2026-03-12T01:26:31.978754+00:00,af7ab6338c7c926ba41ccc9db324e471eabb2b3ec3ad5eff9f0fdbd927533140,1024,1024,2400432
reed_fox,reed_fox,authoring/clipstudio/sprites/reed_fox.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:19.091510+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:36.645845+00:00,2026-03-12T01:26:36.645845+00:00,b26918542b607ea3bd380e74f7b349ef904ec4ed949152900a3bdea1b0c27246,1024,1024,2322106
penitent_poet,penitent_poet,authoring/clipstudio/sprites/penitent_poet.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:19.217996+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:33.343127+00:00,2026-03-12T01:26:33.343127+00:00,413bcc194a7903f4b70f7e8a7958d731cce4943c69a0377fc8000b590635fa96,1024,1024,1150606
cinder_heron,cinder_heron,authoring/clipstudio/sprites/cinder_heron.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:23.464694+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:37.933513+00:00,2026-03-12T01:26:37.933513+00:00,64ef0448b2be801c7af8f66be5e42fb436587bd5cee574b6cf2a4abf76802f5c,1024,1024,1722287
salt_toad,salt_toad,authoring/clipstudio/sprites/salt_toad.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:33.052796+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:47.835952+00:00,2026-03-12T01:26:47.835952+00:00,8710a68612d2dd2801a7a32a628d92c152694bb0439cb6ae519eeb2dd2d6b999,1024,1024,1233220
sable_rat,sable_rat,authoring/clipstudio/sprites/sable_rat.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:35.867672+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:49.826470+00:00,2026-03-12T01:26:49.826470+00:00,740eb0aadad9f5b9ce01efeb1371e96e08157fae11030a7109f669e49f64b85d,1024,1024,1891904
fen_goat,fen_goat,authoring/clipstudio/sprites/fen_goat.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:37.530588+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:53.521033+00:00,2026-03-12T01:26:53.521033+00:00,af73752814617f04307815c11c62d13a753dc6b7e79d9a5410b33d40fb6c5442,1024,1024,1895117
mire_owl,mire_owl,authoring/clipstudio/sprites/mire_owl.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:40.672442+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:53.814651+00:00,2026-03-12T01:26:53.814651+00:00,f3a2ee5a88191d854087873f581792797dc3cf1ddd17701bcd4cc3863cd10ef9,1024,1024,1458880
glass_eel,glass_eel,authoring/clipstudio/sprites/glass_eel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:48.907864+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:04.091253+00:00,2026-03-12T01:27:04.091253+00:00,f293e8e21a99b8e0abb6625f5a587b11e37a03ebb7f13428fead672a441b3741,1024,1024,1455865
dusk_stag,dusk_stag,authoring/clipstudio/sprites/dusk_stag.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:52.513984+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:07.386974+00:00,2026-03-12T01:27:07.386974+00:00,f26aa8cf45ec68b0ca7909879d5201ebc2b62ae8985278a9d0e2e61dc70bc93f,1024,1024,2062734
goduly_amber_accord,goduly_amber_accord,authoring/clipstudio/sprites/goduly_amber_accord.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:54.025985+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:09.731891+00:00,2026-03-12T01:27:09.731891+00:00,0360347475f1ec9969d3b1f755a3dbce54306de80ae1b4144f7a64cddc16e1fb,1024,1024,2461733
goduly_brass_tide,goduly_brass_tide,authoring/clipstudio/sprites/goduly_brass_tide.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:25:57.784378+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:10.307250+00:00,2026-03-12T01:27:10.307250+00:00,0142a832807bd17981af467c530cd58a2f9baf2903f73d5e96104f6d70f5256d,1024,1024,2371590
goduly_cerulean_mercy,goduly_cerulean_mercy,authoring/clipstudio/sprites/goduly_cerulean_mercy.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:06.375611+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:23.318149+00:00,2026-03-12T01:27:23.318149+00:00,dbcb596aa9bab84ffa2ab57a996acf2716c08c565d34335a8e83b8537ccf4709,1024,1024,2300137
goduly_docket_flame,goduly_docket_flame,authoring/clipstudio/sprites/goduly_docket_flame.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:08.792465+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:25.488412+00:00,2026-03-12T01:27:25.488412+00:00,1154fab9ded80c4b899cd8dec5e771da9ea43cbe2e1e230e5578a89c5943818f,1024,1024,1875287
goduly_ember_refrain,goduly_ember_refrain,authoring/clipstudio/sprites/goduly_ember_refrain.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:11.886144+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:26.939320+00:00,2026-03-12T01:27:26.939320+00:00,57364684a569907f2bc395229364bebc70dd148774e4f5068dde1ed843796ba8,1024,1024,2370752
goduly_fallow_crown,goduly_fallow_crown,authoring/clipstudio/sprites/goduly_fallow_crown.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:15.365408+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:28.292005+00:00,2026-03-12T01:27:28.292005+00:00,118ac89cf0b017289065ae6b955546177d52e6acabb577ee96fd84fe41de0542,1024,1024,2443111
goduly_gilt_murmur,goduly_gilt_murmur,authoring/clipstudio/sprites/goduly_gilt_murmur.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:23.582870+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:40.740034+00:00,2026-03-12T01:27:40.740034+00:00,fa6808ebe09dc00d808e8a35461630cc7fc3443ac35e00a7413eafe46013a0ef,1024,1024,2173542
goduly_hollow_orbit,goduly_hollow_orbit,authoring/clipstudio/sprites/goduly_hollow_orbit.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:26.337750+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:45.459367+00:00,2026-03-12T01:27:45.459367+00:00,045937141dfdf10445db3870d1da28a07056556ed4d69a35d0db46cc9f330749,1024,1024,2510294
goduly_ink_saint,goduly_ink_saint,authoring/clipstudio/sprites/goduly_ink_saint.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:29.887808+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:44.337186+00:00,2026-03-12T01:27:44.337186+00:00,76e12b516de2ecf5733985643bb4ab732d9ac8c30ce376f7b98d51bef3722f32,1024,1024,1605186
goduly_jade_resolve,goduly_jade_resolve,authoring/clipstudio/sprites/goduly_jade_resolve.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:32.527415+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:46.334532+00:00,2026-03-12T01:27:46.334532+00:00,cf120383fd6611df629602c15b5ee88399852f3ebeb9bdaae1e41fd1a5b819fe,1024,1024,1904082
goduly_knotted_light,goduly_knotted_light,authoring/clipstudio/sprites/goduly_knotted_light.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:40.381689+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:27:57.003161+00:00,2026-03-12T01:27:57.003161+00:00,e81d03ef58ef5cedec51881d6cd4e322d9539fc7f7cd351fb00b8d218bc14ff2,1024,1024,2011714
goduly_lantern_grace,goduly_lantern_grace,authoring/clipstudio/sprites/goduly_lantern_grace.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:44.259666+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:28:01.282664+00:00,2026-03-12T01:28:01.282664+00:00,2722224fd6d32608f61e76d5f32b02d4c9cac37f8aad56544cfd9b16cd5936c6,1024,1024,1771576
tribunal_sky_dawn,tribunal_sky_dawn,authoring/clipstudio/tiles/tribunal_sky_dawn.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T01:26:45.339444+00:00 | Generated automatically via batch_run_manifest.py at 2026-03-12T01:28:00.769360+00:00,2026-03-12T01:28:00.769360+00:00,37ba7d28eac3d1a993981cdda781e27165f9c3b6049ca4237e92760d54933d9c,1024,1024,1499878
